		Temp	Hi	Low	Out		Wind		Wind	Hi	Hi	Wind	Heat				Rain	Heat	Cool	In 	In	In 	In 	Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Dew	Speed	Dir	Run	Speed	Dir	Chill	Index	THW	Bar  	Rain	Rate	D-D 	D-D 	Temp	Hum	Dew	Heat	Samp	Tx 	Recept	Int.
01/05/13	0:05	7.4	7.4	7.3	65	1.2	2.0	SSW	0.17	8.0	WSW	7.4	7.0	7.0	1022.0	0.00	0.0	0.038	0.000	12.1	52	2.5	11.2	116	1	100.0	5
01/05/13	0:10	7.4	7.4	7.4	65	1.2	3.0	SSW	0.25	10.0	S	6.9	7.0	6.5	1022.1	0.00	0.0	0.038	0.000	12.1	52	2.5	11.2	117	1	100.0	5
01/05/13	0:15	7.3	7.4	7.3	65	1.2	3.0	SW	0.25	7.0	SSW	6.8	6.9	6.4	1022.1	0.00	0.0	0.038	0.000	12.1	52	2.5	11.2	117	1	100.0	5
01/05/13	0:20	7.3	7.3	7.3	66	1.4	3.0	SW	0.25	8.0	SW	6.8	6.9	6.4	1022.0	0.00	0.0	0.038	0.000	12.1	52	2.5	11.2	117	1	100.0	5
01/05/13	0:25	7.3	7.3	7.3	66	1.3	3.0	SSW	0.25	6.0	S	6.7	6.9	6.3	1022.0	0.00	0.0	0.038	0.000	11.9	52	2.4	11.1	117	1	100.0	5
01/05/13	0:30	7.3	7.3	7.3	67	1.6	1.0	SW	0.08	7.0	WSW	7.3	6.9	6.9	1022.0	0.00	0.0	0.038	0.000	11.9	52	2.4	11.1	117	1	100.0	5
01/05/13	0:35	7.3	7.3	7.3	68	1.8	2.0	SW	0.17	5.0	SW	7.3	6.9	6.9	1022.0	0.00	0.0	0.038	0.000	11.9	52	2.4	11.1	116	1	100.0	5
01/05/13	0:40	7.3	7.3	7.3	68	1.8	2.0	SW	0.17	7.0	SW	7.3	6.9	6.9	1022.0	0.00	0.0	0.038	0.000	11.9	52	2.4	11.1	117	1	100.0	5
01/05/13	0:45	7.3	7.3	7.3	70	2.2	3.0	SW	0.25	8.0	SW	6.7	7.0	6.4	1021.9	0.00	0.0	0.038	0.000	11.9	52	2.4	11.1	116	1	100.0	5
01/05/13	0:50	7.2	7.3	7.2	70	2.1	4.0	SSW	0.33	9.0	SW	6.2	6.9	5.9	1021.8	0.00	0.0	0.039	0.000	11.9	53	2.6	11.1	116	1	100.0	5
01/05/13	0:55	7.2	7.3	7.2	71	2.3	2.0	SSW	0.17	6.0	SSW	7.2	6.9	6.9	1021.8	0.00	0.0	0.039	0.000	11.9	53	2.6	11.1	116	1	100.0	5
01/05/13	1:00	7.2	7.2	7.2	72	2.5	2.0	SW	0.17	8.0	SW	7.2	6.9	6.9	1021.9	0.00	0.0	0.039	0.000	11.9	53	2.6	11.1	118	1	100.0	5
01/05/13	1:05	7.2	7.2	7.2	73	2.6	2.0	SSW	0.17	7.0	SSW	7.2	6.9	6.9	1021.9	0.00	0.0	0.039	0.000	11.9	53	2.6	11.1	117	1	100.0	5
01/05/13	1:10	7.2	7.2	7.1	74	2.8	3.0	WSW	0.25	8.0	WSW	6.6	6.9	6.4	1021.9	0.00	0.0	0.039	0.000	11.8	54	2.8	11.0	117	1	100.0	5
01/05/13	1:15	7.1	7.2	7.1	75	3.0	2.0	WSW	0.17	10.0	SW	7.1	6.9	6.9	1021.8	0.00	0.0	0.039	0.000	11.8	54	2.8	11.0	117	1	100.0	5
01/05/13	1:20	7.1	7.1	7.1	76	3.2	4.0	SW	0.33	9.0	SW	6.1	6.9	5.8	1021.8	0.00	0.0	0.039	0.000	11.8	54	2.8	11.0	116	1	100.0	5
